Condition,Trait,Trait_abbrev,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI,Year,Location,Treatment,Nitrogen,Fungicide,Water,p_MI_FDR_dentro_trait,z_R2,z_NMI,MI_advantage
2015__GGE__HN_WF_RF,Biomass,SDM,220,0.6166497698954325,0.7844970500893145,0.2898802383126498,0.032572019191944114,0.2573082191207057,28.684216611686224,0.005,2015,GGE,HN_WF_RF,HN,WF,RF,0.005,-0.018749835734903155,0.16046466644777224,0.1792145021826754
2015__GGE__HN_WF_RF,Grain,GN,220,0.728303945355992,0.8226334503530314,0.2922987470278959,0.032831455030163735,0.25946729199773216,28.434849285934355,0.005,2015,GGE,HN_WF_RF,HN,WF,RF,0.005,0.39621785787766034,0.01636729996916391,-0.3798505579084964
2015__GGE__HN_WF_RF,Crude_protein,GP,220,0.49081273542471326,-0.6747603725847078,0.1904095234835595,0.033397197298607205,0.15701232618495228,17.112737745104482,0.005,2015,GGE,HN_WF_RF,HN,WF,RF,0.005921052631578947,0.9792224978868121,0.9108619074800268,-0.06836059040678533
2015__GGE__HN_WF_RF,Grain_per_spike,GpS,220,0.2964539873460233,0.5287851552154534,0.12260472940973251,0.03304324400333763,0.08956148540639489,9.20940744022712,0.005,2015,GGE,HN_WF_RF,HN,WF,RF,0.006999999999999999,0.8111672609702071,0.9170103709285747,0.10584310995836765
2015__GGE__HN_WF_RF,Spike_number,SN,220,0.027283243144640583,0.18598468413134006,0.03778169965766878,0.03210555985848229,0.0056761397991864915,0.5833692913691794,0.245,2015,GGE,HN_WF_RF,HN,WF,RF,0.4083333333333333,-0.21770484357024186,-0.4231018166162572,-0.2053969730460153
2015__GGE__HN_WF_RF,TGW,TGW,220,0.011338457533947481,0.11317175974710222,0.03711491785863661,0.03346628845811902,0.0036486294005175918,0.36540779517449506,0.325,2015,GGE,HN_WF_RF,HN,WF,RF,0.3689189189189189,-1.0381584232853451,-0.7966262425126909,0.24153218077265426
2015__GGE__LN_NF_RF,Harvest_Index,HI,220,0.6185755707410734,0.7588556487831266,0.2746499270868482,0.03337379340069817,0.24127613368615003,23.973784906966515,0.005,2015,GGE,LN_NF_RF,LN,NF,RF,0.005,0.8565411160635871,1.2036231102967545,0.34708199423316743
2015__GGE__LN_NF_RF,Straw,Straw,220,0.0415077522386127,0.15667040453502984,0.03888573341284188,0.032262091737243044,0.006623641675598833,0.8024287634343275,0.2,2015,GGE,LN_NF_RF,LN,NF,RF,0.230625,-0.8797574274422002,-1.0749130040566477,-0.1951555766144475
2015__GGE__LN_NF_RF,Biomass,SDM,220,0.6756692352359064,0.7696725514614314,0.24405847812428286,0.032542076241164855,0.211516401883118,22.22982554634273,0.005,2015,GGE,LN_NF_RF,LN,NF,RF,0.005,0.2673287717734507,-0.29057593416869265,-0.5579047059421434
2015__GGE__LN_NF_RF,Grain,GN,220,0.7177890492840361,0.8578745992122302,0.3613231280707233,0.031079313298172283,0.33024381477255105,36.655962823400905,0.005,2015,GGE,LN_NF_RF,LN,NF,RF,0.005,0.2916833085760075,1.1902829110069113,0.8985996024309038
2015__GGE__LN_NF_RF,Crude_protein,GP,220,0.4997952495886717,-0.6939531057178115,0.20747870444769898,0.03269164672380147,0.17478705772389752,17.239370404423294,0.005,2015,GGE,LN_NF_RF,LN,NF,RF,0.005921052631578947,1.0270738870667824,1.2014197846117718,0.17434589754498941
