Environment_1,Environment_2,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI,NMI_bins_4,NMI_bins_6,NMI_bins_8,p_MI_FDR,Year_1,Location_1,Treatment_1,Nitrogen_1,Fungicide_1,Water_1,Year_2,Location_2,Treatment_2,Nitrogen_2,Fungicide_2,Water_2,same_year,same_location,same_management,same_nitrogen,same_fungicide,same_water,z_R2,z_NMI,MI_advantage
2015__QLB__HN_NF_RF,2017__KIE__HN_NF_RF,215,0.2526984635134554,0.5620324084136299,0.15492611515292745,0.0339997172766596,0.12092639787626785,13.032026137962767,0.001,0.12368752394190473,0.15492611515292745,0.150593611189165,0.0010112359550561798,2015,QLB,HN_NF_RF,HN,NF,RF,2017,KIE,HN_NF_RF,HN,NF,RF,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,-1.2675075147949328,-0.5323000407497283,0.7352074740452046
2015__GGE__HN_WF_RF,2015__GGE__LN_NF_RF,220,0.6977885625581459,0.8156088874864056,0.3211725895685745,0.03293658044966429,0.2882360091189102,30.80451145261703,0.001,0.345237768118418,0.3211725895685745,0.32965030378586274,0.0010112359550561798,2015,GGE,HN_WF_RF,HN,WF,RF,2015,GGE,LN_NF_RF,LN,NF,RF,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1.5294761168316469,2.254786142438837,0.72531002560719
2016__GGE__HN_WF_RF,2017__GGE__HN_WF_RF,220,0.6217045122277436,0.7389100826651189,0.29269793076384254,0.03316552627088045,0.2595324044929621,27.1429826772212,0.001,0.25072767844161786,0.29269793076384254,0.2442030228505725,0.0010112359550561798,2016,GGE,HN_WF_RF,HN,WF,RF,2017,GGE,HN_WF_RF,HN,WF,RF,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0513575429547186,1.7766341745601515,0.7252766316054329
2015__KAL__LN_NF_RF,2015__QLB__HN_WF_RF,220,0.16914976927007866,0.4950947521455177,0.12064232519758634,0.03241549302333298,0.08822683217425337,9.689117995481228,0.001,0.09909261527895102,0.12064232519758634,0.11157765078547098,0.0010112359550561798,2015,KAL,LN_NF_RF,LN,NF,RF,2015,QLB,HN_WF_RF,HN,WF,RF,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.7925345390852099,-1.0770177475656249,0.715516791519585
2015__QLB__HN_WF_RF,2017__HAN__HN_NF_RF,220,0.1368321586881666,0.48654536438581564,0.10852056828341139,0.032774597261731576,0.07574597102167982,7.853422142399949,0.001,0.09611908639297456,0.10852056828341139,0.13394812901792358,0.0010112359550561798,2015,QLB,HN_WF_RF,HN,WF,RF,2017,HAN,HN_NF_RF,HN,NF,RF,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,-1.9956211231384176,-1.2849271163955185,0.7106940067428991
2017__HAN__HN_WF_RF,2017__HAN__LN_NF_RF,220,0.6342076450647532,0.793233519099756,0.2948466334903282,0.03283149150878373,0.26201514198154446,27.894474361691636,0.001,0.3169897613991981,0.2948466334903282,0.3122764025603845,0.0010112359550561798,2017,HAN,HN_WF_RF,HN,WF,RF,2017,HAN,LN_NF_RF,LN,NF,RF,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1.1299282816977914,1.8179922489679448,0.6880639672701534
2015__KIE__LN_NF_RF,2017__QLB__HN_WF_RF,220,0.20223393300275455,0.43343119410806763,0.1321150822627367,0.03323786143101171,0.09887722083172498,10.74829820335131,0.001,0.09850644218407527,0.1321150822627367,0.12360593266609238,0.0010112359550561798,2015,KIE,LN_NF_RF,LN,NF,RF,2017,QLB,HN_WF_RF,HN,WF,RF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.5846308705359418,-0.899600856495461,0.6850300140404808
2016__HAN__LN_NF_RF,2017__QLB__HN_WF_RF,220,0.1832565643519288,0.46683759431543476,0.12473520429120895,0.033315744160705506,0.09141946013050345,9.530168194080844,0.001,0.09140572817321835,0.12473520429120895,0.10969928242148598,0.0010112359550561798,2016,HAN,LN_NF_RF,LN,NF,RF,2017,QLB,HN_WF_RF,HN,WF,RF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.703886251865764,-1.0238341366610393,0.6800521152047247
2015__KIE__HN_WF_RF,2017__HAN__HN_WF_RF,220,0.3725895173037436,0.5982013152037327,0.19545033170966025,0.033294783698690524,0.16215554801096974,17.155539957034403,0.001,0.18256576341021938,0.19545033170966025,0.17863993221301197,0.0010112359550561798,2015,KIE,HN_WF_RF,HN,WF,RF,2017,HAN,HN_WF_RF,HN,WF,RF,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,-0.5141020453189022,0.1545056593626606,0.6686077046815628
2017__KIE__HN_NF_RF,2017__QLB__HN_NF_RF,215,0.30532219330036087,0.5982346832814124,0.17062534757463713,0.033938181408776434,0.13668716616586069,14.569674800779579,0.001,0.14243506338821646,0.17062534757463713,0.17236896652402062,0.0010112359550561798,2017,KIE,HN_NF_RF,HN,NF,RF,2017,QLB,HN_NF_RF,HN,NF,RF,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,-0.9368155691303857,-0.2697531421578975,0.6670624269724882
