BRISONr,Merito_multicarater,DP_indice_local,n_ambientes,Fracao_ambientes,Entropia_Shannon,Entropia_normalizada,Fracao_quartil_superior,Fracao_quartil_inferior,genotype,RYear,Genotipo,Quadrante,Pareto,Z_merito,Z_estabilidade,Escore_integrado_exploratorio,Rank_exploratorio
BRISONr_46,0.26289479283848455,0.34708767921261685,45,1,1.1330976079116766,0.8173571498886615,0.3333333333333333,0.022222222222222223,BRISONr_46,NA,BRISONr_46,Superior e estável,FALSE,0.8117464073397711,-0.037192282087969035,0.7745541252518021,39
BRISONr_77,0.29015862414521904,0.30555285440657876,45,1,1.1643602564066735,0.8399083838630549,0.4666666666666667,0.044444444444444446,BRISONr_77,NA,BRISONr_77,Superior e estável,FALSE,0.8953669899105119,-0.15650322815397974,0.7388637617565321,40
BRISONr_64,0.29572426186957906,0.3502464437205979,45,1,1.1750050638459746,0.8475869893150038,0.5111111111111111,0.06666666666666667,BRISONr_64,NA,BRISONr_64,Superior e estável,FALSE,0.912437293187136,-0.19712813063070952,0.7153091625564264,41
BRISONr_126,0.1222363478013841,0.260059724440488,45,1,1.0376277213318303,0.7484901839271735,0.17777777777777778,0,BRISONr_126,NA,BRISONr_126,Superior e estável,FALSE,0.3803345127616412,0.32715952548454336,0.7074940382461845,42
BRISONr_32,0.2895538944692822,0.3259680828453666,45,1,1.1746485254072592,0.8473298011962932,0.4666666666666667,0.044444444444444446,BRISONr_32,NA,BRISONr_32,Superior e estável,FALSE,0.893512230495713,-0.19576743534480467,0.6977447951509084,43
BRISONr_109,0.18888452945386,0.25112180515184096,45,1,1.0940584729109202,0.7891963666555685,0.35555555555555557,0,BRISONr_109,NA,BRISONr_109,Superior e estável,FALSE,0.584750382063325,0.11179689044756867,0.6965472725108937,44
BRISONr_68,0.25007436625657353,0.2731847541956234,45,1,1.1528336286989793,0.831593679547023,0.4444444444444444,0.06666666666666667,BRISONr_68,NA,BRISONr_68,Superior e estável,FALSE,0.7724250248266685,-0.11251294188710198,0.6599120829395666,45
BRISONr_206,-1.1982273924121754,0.47153314797437723,42,0.9333333333333333,-0,-0,0,1,BRISONr_206,NA,BRISONr_206,Inferior e estável,TRUE,-3.669644596114467,4.287167747955906,0.6175231518414392,46
BRISONr_172,-1.1982298071894206,0.32297839151716745,45,1,-0,-0,0,1,BRISONr_172,NA,BRISONr_172,Inferior e estável,FALSE,-3.6696520024499066,4.287167747955906,0.6175157455059996,47
BRISONr_45,0.26997147936499627,0.27821760818126845,45,1,1.1809877978927485,0.8519026196851229,0.4222222222222222,0.06666666666666667,BRISONr_45,NA,BRISONr_45,Superior e estável,FALSE,0.8334512309707496,-0.21996067021212623,0.6134905607586234,48
BRISONr_183,0.2565763276001291,0.3230172076374111,45,1,1.1720574857220631,0.8454607611440038,0.3333333333333333,0.044444444444444446,BRISONr_183,NA,BRISONr_183,Superior e estável,FALSE,0.7923671154772314,-0.18587897704016723,0.6064881384370642,49
BRISONr_94,-0.9033885766834634,0.4404227215380995,45,1,0.24493002679463532,0.17667966751071065,0,0.9333333333333333,BRISONr_94,NA,BRISONr_94,Inferior e estável,FALSE,-2.765347864729829,3.3524154277384435,0.5870675630086146,50
BRISONr_100,0.21343455972459438,0.25070539671750935,45,1,1.1425002894229,0.8241397508823116,0.4444444444444444,0.022222222222222223,BRISONr_100,NA,BRISONr_100,Superior e estável,FALSE,0.6600474967744566,-0.0730767282455292,0.5869707685289274,51
BRISONr_37,0.2744053197936998,0.3202380244833702,45,1,1.1966482667326457,0.8631992600517807,0.4888888888888889,0.06666666666666667,BRISONr_37,NA,BRISONr_37,Superior e estável,FALSE,0.8470502118147336,-0.27972737083009896,0.5673228409846347,52
BRISONr_55,0.20146349227447796,0.21928710693848114,45,1,1.1425002894229,0.8241397508823116,0.3111111111111111,0.022222222222222223,BRISONr_55,NA,BRISONr_55,Superior e estável,FALSE,0.6233311738589351,-0.0730767282455292,0.5502544456134059,53
BRISONr_123,-0.9958261486145852,0.5032091503773162,45,1,0.18182028230491803,0.1311556098071683,0,0.9555555555555556,BRISONr_123,NA,BRISONr_123,Inferior e estável,FALSE,-3.0488620755295353,3.593267808567834,0.5444057330382988,54
BRISONr_47,0.20802986857261596,0.28530455888025386,45,1,1.149898863384292,0.8294766938641869,0.2222222222222222,0.044444444444444446,BRISONr_47,NA,BRISONr_47,Superior e estável,FALSE,0.6434708308738086,-0.10131268717313911,0.5421581437006695,55
BRISONr_71,0.22677852519339897,0.2950860921572338,45,1,1.174312020646558,0.8470870643215437,0.37777777777777777,0.022222222222222223,BRISONr_71,NA,BRISONr_71,Superior e estável,FALSE,0.700974619369646,-0.1944831966994003,0.5064914226702457,56
BRISONr_170,-0.7400203088785634,0.4180865603774557,45,1,0.4044323651250528,0.29173628377045413,0,0.8888888888888888,BRISONr_170,NA,BRISONr_170,Inferior e estável,FALSE,-2.26428293464995,2.7436898142003403,0.4794068795503903,57
BRISONr_116,0.24219950421902298,0.2893720317693405,45,1,1.2180613175273303,0.8786455111476782,0.37777777777777777,0.08888888888888889,BRISONr_116,NA,BRISONr_116,Superior e instável,FALSE,0.7482721262910349,-0.36144825730208874,0.38682386898894616,58
BRISONr_49,0.242338420544732,0.3484037086182653,45,1,1.2278104324320371,0.8856780110107169,0.4888888888888889,0.1111111111111111,BRISONr_49,NA,BRISONr_49,Superior e instável,FALSE,0.7486981949515136,-0.3986548337945755,0.35004336115693807,59
BRISONr_122,0.22087587669760184,0.2740254610434818,45,1,1.2125150093559518,0.8746446955006334,0.4,0.044444444444444446,BRISONr_122,NA,BRISONr_122,Superior e estável,FALSE,0.6828706742426476,-0.34028129586544953,0.34258937837719805,60
BRISONr_204,0.1657348119462365,0.30404757915009806,45,1,1.172402069567453,0.8457093258464611,0.26666666666666666,0.022222222222222223,BRISONr_204,NA,BRISONr_204,Superior e estável,FALSE,0.5137481504783096,-0.18719404874943454,0.326554101728875,61
BRISONr_9,0.24671006102168694,0.3419898276065,45,1,1.2445473330438892,0.897751132767002,0.3111111111111111,0.06666666666666667,BRISONr_9,NA,BRISONr_9,Superior e instável,FALSE,0.7621064030408331,-0.4625296346302254,0.2995767684106077,62
BRISONr_10,0.22706808136768605,0.3825660393746904,45,1,1.2297291279746243,0.88706205728285,0.4222222222222222,0.06666666666666667,BRISONr_10,NA,BRISONr_10,Superior e instável,FALSE,0.7018627137723891,-0.4059773541637424,0.29588535960864665,63
BRISONr_118,0.22353763836685586,0.3632973152299474,45,1,1.2280211969132089,0.8858300454466078,0.35555555555555557,0.044444444444444446,BRISONr_118,NA,BRISONr_118,Superior e instável,FALSE,0.691034532760673,-0.39945919653593853,0.2915753362247344,64
BRISONr_65,0.22117610896097106,0.2570811523243769,45,1,1.2375431553901612,0.8926986865837327,0.4222222222222222,0.06666666666666667,BRISONr_65,NA,BRISONr_65,Superior e instável,FALSE,0.6837915131550886,-0.4357988519707068,0.2479926611843818,65
BRISONr_148,0.19241876696236399,0.2912435050907505,45,1,1.216080102043501,0.8772163662709518,0.28888888888888886,0.044444444444444446,BRISONr_148,NA,BRISONr_148,Superior e estável,FALSE,0.5955902011657658,-0.35388713548049644,0.24170306568526934,66
BRISONr_54,0.24671264663075285,0.4404034208906818,45,1,1.2640792194559862,0.9118404105999716,0.4444444444444444,0.1111111111111111,BRISONr_54,NA,BRISONr_54,Superior e instável,FALSE,0.7621143333325797,-0.5370712348613802,0.22504309847119952,67
BRISONr_201,-0.5300058496334239,0.3638195552785027,45,1,0.6409067376216963,0.46231648601957265,0,0.7777777777777778,BRISONr_201,NA,BRISONr_201,Inferior e estável,FALSE,-1.6201500087680418,1.8412077002023535,0.22105769143431164,68
BRISONr_23,0.21197515839259803,0.30333023946647775,45,1,1.2375431553901612,0.8926986865837327,0.4222222222222222,0.06666666666666667,BRISONr_23,NA,BRISONr_23,Superior e instável,FALSE,0.6555713837801723,-0.4357988519707068,0.21977253180946554,69
BRISONr_60,0.20248894605431772,0.3307469127604978,45,1,1.234848220691158,0.890754702120847,0.3333333333333333,0.08888888888888889,BRISONr_60,NA,BRISONr_60,Superior e instável,FALSE,0.6264763313206594,-0.42551388815595975,0.20096244316469963,70
BRISONr_151,0.16491013161351703,0.26696398457320536,45,1,1.2080360076402636,0.8714137787189552,0.35555555555555557,0.044444444444444446,BRISONr_151,NA,BRISONr_151,Superior e estável,FALSE,0.5112187829407544,-0.32318760873860375,0.18803117420215065,71
BRISONr_132,0.21674472546304893,0.31700086954267664,45,1,1.266802647609206,0.9138049487454053,0.3111111111111111,0.08888888888888889,BRISONr_132,NA,BRISONr_132,Superior e instável,FALSE,0.6702000679351688,-0.5474649412537049,0.12273512668146391,72
