Trait,Trait_abbrev,Environment_1,Environment_2,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI
Seedyield,GY,2015__GGE__HN_WF_RF,2017__GGE__LN_NF_RF,220,0.639776637001763,0.7606858894530127,0.25080269485036427,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__HAN__HN_NF_RF,220,0.2702232414028488,0.4885638133019278,0.11550889376455747,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__HAN__HN_WF_RF,220,0.43709730745884856,0.6520547945205479,0.20181599042169812,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__HAN__LN_NF_RF,220,0.551921811806065,0.7106698297673318,0.22367230641379562,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__KAL__HN_NF_RF,220,0.48057155845898814,0.6675318235350468,0.20264191146511373,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__KAL__HN_WF_RF,220,0.6531729911100401,0.758597566816745,0.28424029810624146,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__KAL__LN_NF_RF,220,0.4908096094309906,0.6637913255157414,0.1605218314161177,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__KIE__HN_NF_RF,215,0.29888287891023324,0.5529836508971481,0.15908441775048288,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__KIE__HN_WF_RF,216,0.5703175019979219,0.7210564545898379,0.23290174257722535,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__KIE__LN_NF_RF,212,0.5187002482592141,0.6636796546065267,0.22616346499587858,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__QLB__HN_NF_RF,220,0.1678997348924483,0.4169432501422832,0.1072343991034673,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__QLB__HN_WF_RF,220,0.23398551288954214,0.42609445349171376,0.10958921493278276,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__QLB__LN_NF_RF,220,0.26000518401265466,0.5041625578289559,0.12378326247657861,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__HAN__HN_NF_RF,220,0.5987123603798908,0.7047339445405522,0.21577933643856456,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__HAN__HN_WF_RF,220,0.665445035435261,0.8023373886387586,0.26283796176428564,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__HAN__LN_NF_RF,220,0.7465761488587835,0.8336915300654222,0.2933265853215397,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__KAL__HN_NF_RF,220,0.6626851364156762,0.769209356316528,0.25697462456307263,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__KAL__HN_WF_RF,220,0.5725463086027142,0.7415675380220103,0.226921650777081,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__KAL__LN_NF_RF,220,0.7362330481930244,0.8254633360193393,0.31192591633435374,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__KIE__HN_NF_RF,220,0.7036327761706354,0.8008925804252154,0.29193182459290035,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__KIE__HN_WF_RF,220,0.4964959611430641,0.681130151073745,0.2034317021090356,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__KIE__LN_NF_RF,220,0.6072720051353472,0.7353318719958527,0.22027491600286797,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__QLB__HN_NF_RF,220,0.45193026093151345,0.6823304012667429,0.21245167690168953,NA,NA,NA,NA
