BRISONr,Condition,tem_yield,peso_disponivel,n_traits_disponiveis,MI_Index_Local
BRISONr_22,2016__QLB__LN_NF_RF,TRUE,1,4,0.21459226446356572
BRISONr_22,2017__GGE__HN_NF_RF,TRUE,1,4,-1.0170116399653215
BRISONr_22,2017__GGE__HN_WF_RF,TRUE,1,4,-0.35983125563610696
BRISONr_22,2017__GGE__LN_NF_RF,TRUE,1,4,0.4711304399820027
BRISONr_22,2017__HAN__HN_NF_RF,TRUE,1,4,0.0813189039385793
BRISONr_22,2017__HAN__HN_WF_RF,TRUE,1,4,-0.22073779518348294
BRISONr_22,2017__HAN__LN_NF_RF,TRUE,1,4,-0.17372284118295137
BRISONr_22,2017__KAL__HN_NF_RF,TRUE,1,4,0.03208557787708385
BRISONr_22,2017__KAL__HN_WF_RF,TRUE,1,4,-0.059399892489326825
BRISONr_22,2017__KAL__LN_NF_RF,TRUE,1,4,-0.29350445888535687
BRISONr_22,2017__KIE__HN_NF_RF,TRUE,1,4,0.2036670703960255
BRISONr_22,2017__KIE__HN_WF_RF,TRUE,1,4,0.038945066451403776
BRISONr_22,2017__KIE__LN_NF_RF,TRUE,1,4,0.6032731259277643
BRISONr_22,2017__QLB__HN_NF_RF,TRUE,1,4,0.29260941714439376
BRISONr_22,2017__QLB__HN_WF_RF,TRUE,1,4,0.50881283587343
BRISONr_22,2017__QLB__LN_NF_RF,TRUE,1,4,0.5743332210747015
BRISONr_220,2015__GGE__HN_NF_RF,TRUE,1,4,-0.14560832955540715
BRISONr_220,2015__GGE__HN_WF_RF,TRUE,1,4,-0.4935737853212401
BRISONr_220,2015__GGE__LN_NF_RF,TRUE,1,4,0.6836028179334879
BRISONr_220,2015__HAN__HN_NF_RF,TRUE,1,4,-1.061716995754885
BRISONr_220,2015__HAN__HN_WF_RF,TRUE,1,4,-0.0600122244793075
BRISONr_220,2015__HAN__LN_NF_RF,TRUE,1,4,-0.21293553734630466
BRISONr_220,2015__KAL__HN_NF_RF,TRUE,0.9232988434688713,3,-0.07551387836581407
BRISONr_220,2015__KAL__HN_WF_RF,TRUE,0.9232988434688713,3,0.02070350749102576
BRISONr_220,2015__KAL__LN_NF_RF,TRUE,0.9232988434688713,3,0.5823345678856429
BRISONr_220,2015__KIE__HN_NF_RF,TRUE,1,4,-0.21802720899206954
BRISONr_220,2015__KIE__HN_WF_RF,TRUE,1,4,0.6191291056507393
BRISONr_220,2015__KIE__LN_NF_RF,TRUE,1,4,0.30720977611424405
BRISONr_220,2015__QLB__HN_NF_RF,TRUE,1,4,-0.2500738054932942
BRISONr_220,2015__QLB__HN_WF_RF,TRUE,1,4,-0.6059992696481488
BRISONr_220,2015__QLB__LN_NF_RF,TRUE,1,4,-0.24851577584531584
BRISONr_220,2016__GGE__HN_NF_RF,TRUE,1,4,0.15501548745500549
BRISONr_220,2016__GGE__HN_WF_RF,TRUE,1,4,0.20907253948211124
BRISONr_220,2016__GGE__LN_NF_RF,TRUE,1,4,0.7487040530668069
BRISONr_220,2016__HAN__HN_NF_RF,TRUE,1,4,-0.9392509252839402
BRISONr_220,2016__HAN__HN_WF_RF,TRUE,1,4,-0.188478438548441
BRISONr_220,2016__HAN__LN_NF_RF,TRUE,1,4,-0.2741287459814565
BRISONr_220,2016__KAL__HN_NF_RF,TRUE,1,4,-0.43371731133908414
BRISONr_220,2016__KAL__HN_WF_RF,TRUE,1,4,-0.09208973183507928
BRISONr_220,2016__KAL__LN_NF_RF,TRUE,1,4,-0.2836213863939734
BRISONr_220,2016__KIE__HN_NF_RF,TRUE,1,4,-1.0391545461727236
BRISONr_220,2016__KIE__HN_WF_RF,TRUE,1,4,-0.03443424197833035
BRISONr_220,2016__KIE__LN_NF_RF,TRUE,1,4,-0.08044814529452249
BRISONr_220,2016__QLB__HN_NF_RF,TRUE,1,4,-1.159147388194331
BRISONr_220,2016__QLB__HN_WF_RF,TRUE,1,4,0.2693437707029849
BRISONr_220,2016__QLB__LN_NF_RF,TRUE,1,4,-0.8814296770479737
BRISONr_220,2017__GGE__HN_NF_RF,TRUE,1,4,-0.05566931299419067
BRISONr_220,2017__GGE__HN_WF_RF,TRUE,1,4,-0.44071739823743483
BRISONr_220,2017__GGE__LN_NF_RF,TRUE,1,4,0.1482513882973292
BRISONr_220,2017__HAN__HN_NF_RF,TRUE,1,4,-0.7913608655619415
BRISONr_220,2017__HAN__HN_WF_RF,TRUE,1,4,-0.5179372409825469
BRISONr_220,2017__HAN__LN_NF_RF,TRUE,1,4,-0.14353124599134312
BRISONr_220,2017__KAL__HN_NF_RF,TRUE,1,4,-0.4514965102807141
BRISONr_220,2017__KAL__HN_WF_RF,TRUE,1,4,0.055817328745075875
BRISONr_220,2017__KAL__LN_NF_RF,TRUE,1,4,0.3137627934043118
BRISONr_220,2017__KIE__HN_NF_RF,TRUE,1,4,-0.4794930437685412
BRISONr_220,2017__KIE__HN_WF_RF,TRUE,1,4,-0.03596892918162059
BRISONr_220,2017__KIE__LN_NF_RF,TRUE,1,4,-0.1856802305444986
BRISONr_220,2017__QLB__HN_NF_RF,TRUE,1,4,-1.0310384374796167
BRISONr_220,2017__QLB__HN_WF_RF,TRUE,1,4,-0.23378289095789004
BRISONr_220,2017__QLB__LN_NF_RF,TRUE,1,4,-0.6704625594595613
BRISONr_23,2015__GGE__HN_NF_RF,TRUE,1,4,0.5367868273373634
BRISONr_23,2015__GGE__HN_WF_RF,TRUE,1,4,0.04330214235048846
BRISONr_23,2015__GGE__LN_NF_RF,TRUE,1,4,0.6169301565246975
BRISONr_23,2015__HAN__HN_NF_RF,TRUE,1,4,0.38313602873762326
BRISONr_23,2015__HAN__HN_WF_RF,TRUE,1,4,0.8562183867674449
BRISONr_23,2015__HAN__LN_NF_RF,TRUE,1,4,0.04166891392033883
BRISONr_23,2015__KAL__HN_NF_RF,TRUE,0.9232988434688713,3,0.5223003893014133
BRISONr_23,2015__KAL__HN_WF_RF,TRUE,0.9232988434688713,3,0.4086200220602639
BRISONr_23,2015__KAL__LN_NF_RF,TRUE,0.9232988434688713,3,0.010412028031429323
BRISONr_23,2015__KIE__HN_NF_RF,TRUE,1,4,0.39036281754542534
BRISONr_23,2015__KIE__HN_WF_RF,TRUE,1,4,0.27114526360339997
BRISONr_23,2015__KIE__LN_NF_RF,TRUE,1,4,-0.1348243237376627
BRISONr_23,2015__QLB__HN_NF_RF,TRUE,1,4,0.7503016950127941
BRISONr_23,2015__QLB__HN_WF_RF,TRUE,1,4,0.3076751465680969
BRISONr_23,2015__QLB__LN_NF_RF,TRUE,1,4,0.5939593722016372
BRISONr_23,2016__GGE__HN_NF_RF,TRUE,1,4,-0.3949672986923539
BRISONr_23,2016__GGE__HN_WF_RF,TRUE,1,4,0.0882346031187493
BRISONr_23,2016__GGE__LN_NF_RF,TRUE,1,4,-0.2008382665323237
BRISONr_23,2016__HAN__HN_NF_RF,TRUE,1,4,0.5429639103445417
BRISONr_23,2016__HAN__HN_WF_RF,TRUE,1,4,0.0937185572045787
BRISONr_23,2016__HAN__LN_NF_RF,TRUE,1,4,0.10658702954174193
BRISONr_23,2016__KAL__HN_NF_RF,TRUE,1,4,-0.14386239002354312
BRISONr_23,2016__KAL__HN_WF_RF,TRUE,1,4,0.20357026838319497
BRISONr_23,2016__KAL__LN_NF_RF,TRUE,1,4,0.04353139166620609
BRISONr_23,2016__KIE__HN_NF_RF,TRUE,1,4,0.23135657568284865
BRISONr_23,2016__KIE__HN_WF_RF,TRUE,1,4,0.05649697202708317
BRISONr_23,2016__KIE__LN_NF_RF,TRUE,1,4,-0.10689037556037026
BRISONr_23,2016__QLB__HN_NF_RF,TRUE,1,4,0.3290743976927617
BRISONr_23,2016__QLB__HN_WF_RF,TRUE,1,4,0.280173715319779
BRISONr_23,2016__QLB__LN_NF_RF,TRUE,1,4,0.3980255418725447
BRISONr_23,2017__GGE__HN_NF_RF,TRUE,1,4,0.6489038101483693
BRISONr_23,2017__GGE__HN_WF_RF,TRUE,1,4,0.29241525923301337
BRISONr_23,2017__GGE__LN_NF_RF,TRUE,1,4,0.5277990988337496
BRISONr_23,2017__HAN__HN_NF_RF,TRUE,1,4,0.002455207235304579
BRISONr_23,2017__HAN__HN_WF_RF,TRUE,1,4,0.012894383094315873
BRISONr_23,2017__HAN__LN_NF_RF,TRUE,1,4,0.3865458845270341
BRISONr_23,2017__KAL__HN_NF_RF,TRUE,1,4,0.3764445818768962
BRISONr_23,2017__KAL__HN_WF_RF,TRUE,1,4,0.39499848374555185
BRISONr_23,2017__KAL__LN_NF_RF,TRUE,1,4,-0.3615248932947845
BRISONr_23,2017__KIE__HN_NF_RF,TRUE,1,4,0.17685512822419464
BRISONr_23,2017__KIE__HN_WF_RF,TRUE,1,4,-0.203712835966797
BRISONr_23,2017__KIE__LN_NF_RF,TRUE,1,4,-0.3293752353565228
BRISONr_23,2017__QLB__HN_NF_RF,TRUE,1,4,-0.15590289047795758
BRISONr_23,2017__QLB__HN_WF_RF,TRUE,1,4,0.48155535828749096
BRISONr_23,2017__QLB__LN_NF_RF,TRUE,1,4,0.1633612892868597
BRISONr_24,2015__GGE__HN_NF_RF,TRUE,1,4,0.7110578730410944
BRISONr_24,2015__GGE__HN_WF_RF,TRUE,1,4,0.22808883334990843
BRISONr_24,2015__GGE__LN_NF_RF,TRUE,1,4,0.6203416863495287
BRISONr_24,2015__HAN__HN_NF_RF,TRUE,1,4,-0.6647201198662919
BRISONr_24,2015__HAN__HN_WF_RF,TRUE,1,4,0.5282223261285331
BRISONr_24,2015__HAN__LN_NF_RF,TRUE,1,4,-0.08775913725247697
BRISONr_24,2015__KAL__HN_NF_RF,TRUE,0.9232988434688713,3,1.6840129471000151
BRISONr_24,2015__KAL__HN_WF_RF,TRUE,0.9232988434688713,3,0.13262143530259504
BRISONr_24,2015__KAL__LN_NF_RF,TRUE,0.9232988434688713,3,0.47993540320839573
BRISONr_24,2015__KIE__HN_NF_RF,TRUE,1,4,-0.007303486492784909
BRISONr_24,2015__KIE__HN_WF_RF,TRUE,1,4,0.2221123801288463
BRISONr_24,2015__KIE__LN_NF_RF,TRUE,1,4,0.3245341682076687
BRISONr_24,2015__QLB__HN_NF_RF,TRUE,1,4,0.2850328668556621
BRISONr_24,2015__QLB__HN_WF_RF,TRUE,1,4,0.3062194667684381
BRISONr_24,2015__QLB__LN_NF_RF,TRUE,1,4,-0.03709469506618714
BRISONr_24,2016__GGE__HN_NF_RF,TRUE,1,4,0.08560980747894932
BRISONr_24,2016__GGE__HN_WF_RF,TRUE,1,4,-0.20443188108916066
BRISONr_24,2016__GGE__LN_NF_RF,TRUE,1,4,0.014317153782915475
BRISONr_24,2016__HAN__HN_NF_RF,TRUE,1,4,-0.3830008142561082
BRISONr_24,2016__HAN__HN_WF_RF,TRUE,1,4,-0.1517826055563883
BRISONr_24,2016__HAN__LN_NF_RF,TRUE,1,4,0.21790891596937573
BRISONr_24,2016__KAL__HN_NF_RF,TRUE,1,4,-0.19104813443530577
BRISONr_24,2016__KAL__HN_WF_RF,TRUE,1,4,0.12544787248086292
BRISONr_24,2016__KAL__LN_NF_RF,TRUE,1,4,-0.07540972880195906
BRISONr_24,2016__KIE__HN_NF_RF,TRUE,1,4,-0.1378738787797338
BRISONr_24,2016__KIE__HN_WF_RF,TRUE,1,4,-0.13582366174683058
BRISONr_24,2016__KIE__LN_NF_RF,TRUE,1,4,0.32710682153735837
BRISONr_24,2016__QLB__HN_NF_RF,TRUE,1,4,-0.16920112145348143
BRISONr_24,2016__QLB__HN_WF_RF,TRUE,1,4,0.1490286715252984
BRISONr_24,2016__QLB__LN_NF_RF,TRUE,1,4,0.34382903418763383
BRISONr_24,2017__GGE__HN_NF_RF,TRUE,1,4,-0.3763284597835417
BRISONr_24,2017__GGE__HN_WF_RF,TRUE,1,4,-0.1106634765766209
